City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
241,manokwari,-0.8667,134.0833,83.39,77,47,6.06,ID,1683697824
242,duong dong,10.2167,103.9667,89.6,70,40,5.75,VN,1683697824
243,udachny,66.4167,112.4,19.45,72,100,17.27,RU,1683697825
244,kailua-kona,19.6406,-155.9956,80.56,71,40,10.36,US,1683697825
245,guanajuato,21.0186,-101.2591,64.0,31,22,3.29,MX,1683697825
246,thompson,55.7435,-97.8558,55.56,76,75,3.44,CA,1683697825
247,lukolela,-1.0605,17.1821,70.39,95,100,2.13,CD,1683697825
248,uyuni,-20.4597,-66.825,40.46,32,90,3.76,BO,1683697825
249,svetlyy,54.675,20.1347,51.85,62,10,12.35,RU,1683697825
250,walvis bay,-22.9575,14.5053,50.95,93,3,8.05,,1683697825
251,staszow,50.5631,21.1659,48.92,65,29,13.49,PL,1683697826
252,ishigaki,24.3448,124.1572,78.93,69,40,11.5,JP,1683697826
253,luderitz,-26.6481,15.1594,61.21,58,80,4.27,,1683697826
254,pariaman,-0.619,100.12,89.65,59,65,7.7,ID,1683697826
255,buritizeiro,-17.3511,-44.9622,67.23,70,100,0.87,BR,1683697826
256,malindi,-3.2175,40.1191,80.76,78,40,0.0,KE,1683697826
257,isangel,-19.55,169.2667,82.51,78,75,4.61,VU,1683697826
258,port blair,11.6667,92.75,85.62,76,89,23.38,IN,1683697826
259,hermanus,-34.4187,19.2345,54.81,66,100,2.48,ZA,1683697827
260,meadow lakes,61.6247,-149.6011,47.91,58,100,5.75,US,1683697827
261,bontang,0.1333,117.5,84.78,70,100,2.21,ID,1683697827
262,tamanrasset,22.785,5.5228,58.91,18,44,6.91,DZ,1683697827
263,salalah,17.0151,54.0924,89.69,48,20,1.14,OM,1683697827
264,mejit,10.2753,170.8646,80.89,82,85,13.02,MH,1683697827
265,holualoa,19.6228,-155.9522,76.84,75,40,10.36,US,1683697661
266,kurkino,53.4257,38.6582,49.48,56,27,8.68,RU,1683697828
267,minas de marcona,-15.2119,-75.1103,58.33,89,47,8.16,PE,1683697828
268,bayanhongor,46.7167,100.1167,44.58,33,85,11.07,MN,1683697828
269,al bawiti,28.3492,28.8659,73.72,38,0,10.02,EG,1683697828
270,hadithah,34.1397,42.3781,80.92,27,0,5.03,IQ,1683697828
271,shepetivka,50.1855,27.0637,46.94,62,7,6.49,UA,1683697828
272,rikaze,29.25,88.8833,56.55,9,52,8.79,CN,1683697764
273,monkey bay,-14.0728,34.9201,70.25,71,1,11.97,MW,1683697828
274,iqaluit,63.7506,-68.5145,20.93,86,0,0.0,CA,1683697829
275,howrah,22.5892,88.3103,98.6,49,40,9.22,IN,1683697707
276,guane,22.2025,-84.0875,75.25,88,98,5.17,CU,1683697829
277,kirakira,-10.4544,161.9205,83.37,80,37,9.73,SB,1683697829
278,kerikeri,-35.2268,173.9474,57.9,83,44,10.4,NZ,1683697829
279,zhangjiakou,40.81,114.8794,76.5,17,63,9.84,CN,1683697830
280,nampula,-15.1165,39.2666,67.95,100,20,8.05,MZ,1683697830
281,ancud,-41.8697,-73.8203,51.78,96,95,6.11,CL,1683697830
282,gamba,-2.65,10.0,77.2,92,94,3.24,GA,1683697830
283,wailua homesteads,22.0669,-159.378,77.43,79,75,16.11,US,1683697830
284,keflavik,64.0049,-22.5624,46.83,100,75,4.61,IS,1683697831
285,pangody,65.85,74.4859,32.97,99,100,6.85,RU,1683697831
286,fernie,49.5,-115.0687,46.6,84,60,2.28,CA,1683697831
287,trairi,-3.2778,-39.2689,74.39,91,26,5.88,BR,1683697679
288,cannonvale,-20.2833,148.7,70.99,55,41,16.17,AU,1683697831
289,timbuktu,16.7735,-3.0074,84.76,21,47,12.88,ML,1683697831
290,kencong,-8.2833,113.3667,83.52,81,70,8.08,ID,1683697832
291,sault ste. marie,46.5168,-84.3333,52.36,62,0,4.61,CA,1683697832
292,axim,4.8699,-2.2405,80.26,84,54,5.95,GH,1683697832
293,codrington,-38.2667,141.9667,58.44,61,77,5.88,AU,1683697832
294,playa del ingles,27.7567,-15.5787,69.55,75,1,10.89,ES,1683697832
295,tabou,4.423,-7.3528,79.81,86,100,4.34,CI,1683697832
296,santa ana,33.7456,-117.8678,60.24,75,100,11.5,US,1683697630
297,bovalino,38.149,16.174,65.14,84,81,0.81,IT,1683697832
298,ciudad melchor muzquiz,27.8833,-101.5167,68.34,73,100,1.97,MX,1683697833
299,rabo de peixe,37.8,-25.5833,63.91,94,75,4.61,PT,1683697833
300,veinticinco de mayo,-35.4323,-60.1727,48.97,86,36,1.01,AR,1683697833
301,bintulu,3.1667,113.0333,91.81,58,20,3.44,MY,1683697833
302,petropavlovsk-kamchatsky,53.0452,158.6483,46.99,49,75,13.42,RU,1683697833
303,porto velho,-8.7619,-63.9039,77.05,88,20,2.3,BR,1683697826
304,belle fourche,44.6714,-103.8522,60.35,49,61,5.73,US,1683697833
305,jarabulus,36.8175,38.0111,71.94,44,58,2.8,SY,1683697833
306,old town,50.087,14.4202,56.32,71,0,10.36,CZ,1683697833
307,tongchuanshi,35.0806,109.0897,55.51,86,100,2.84,CN,1683697834
308,gazojak,41.1875,61.4036,88.63,10,82,10.11,TM,1683697834
309,nago,26.5881,127.9761,77.85,66,43,14.2,JP,1683697834
310,villa gesell,-37.2639,-56.973,46.06,73,43,12.21,AR,1683697834
311,ad darb,17.7229,42.2526,88.39,56,9,4.85,SA,1683697834
312,ypsonas,34.6884,32.9574,72.45,73,0,5.75,CY,1683697834
313,sevastopol,44.6,33.5333,53.01,52,11,4.0,UA,1683697644
314,susuman,62.7833,148.1667,41.88,65,27,13.98,RU,1683697834
315,priyutnoye,46.1011,43.5072,55.27,74,100,2.53,RU,1683697834
316,lompoc,34.6391,-120.4579,55.6,90,75,8.05,US,1683697545
317,borujen,31.9652,51.2873,66.43,28,34,19.53,IR,1683697835
318,saint-pierre,-21.3393,55.4781,82.56,54,0,3.44,RE,1683697835
319,vad,55.5301,44.2114,53.2,52,77,6.08,RU,1683697835
320,puerto baquerizo moreno,-0.9,-89.6,79.23,85,12,11.07,EC,1683697835
321,cabedelo,-6.9811,-34.8339,75.87,82,55,7.58,BR,1683697835
322,luau,-10.7073,22.2247,62.11,61,90,3.36,AO,1683697835
323,zakynthos,37.7914,20.8953,66.63,77,40,8.05,GR,1683697835
324,lamu,-2.2717,40.902,82.62,81,68,14.27,KE,1683697836
325,richards bay,-28.783,32.0377,66.94,83,98,10.54,ZA,1683697836
326,hammerfest,70.6634,23.6821,45.05,70,0,4.61,NO,1683697836
